PLZ,Name ,Landkreis,Bundesland
6420,Könnern,Landkreis Salzlandkreis,Sachsen-Anhalt
95692,Konnersreuth,Landkreis Tirschenreuth,Bayern
95176,Konradsreuth,Landkreis Hof,Bayern
78467,Konstanz,Landkreis Konstanz,Baden-Württemberg
78465,Konstanz,Landkreis Konstanz,Baden-Württemberg
78464,Konstanz,Landkreis Konstanz,Baden-Württemberg
78462,Konstanz,Landkreis Konstanz,Baden-Württemberg
54329,Konz,Landkreis Trier-Saarburg,Rheinland-Pfalz
94357,Konzell,Landkreis Straubing-Bogen,Bayern
71404,Korb,Landkreis Rems-Murr-Kreis,Baden-Württemberg
34497,Korbach,Landkreis Waldeck-Frankenberg,Hessen
54306,Kordel,Landkreis Trier-Saarburg,Rheinland-Pfalz
34327,Körle,Landkreis Schwalm-Eder-Kreis,Hessen
99998,"Körner, Weinbergen",Landkreis Unstrut-Hainich-Kreis,Thüringen
70825,Korntal-Münchingen,Landkreis Ludwigsburg,Baden-Württemberg
70806,Kornwestheim,Landkreis Ludwigsburg,Baden-Württemberg
54675,Körperich u.a.,Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
41352,Korschenbroich,Kreis Rhein-Kreis Neuss,Nordrhein-Westfalen
85092,Kösching,Landkreis Eichstätt,Bayern
24354,"Kosel, Rieseby u.a.",Kreis Rendsburg-Eckernförde,Schleswig-Holstein
17459,Koserow,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
94149,Kößlarn,Landkreis Passau,Bayern
6366,Köthen,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
56736,Kottenheim,Landkreis Mayen-Koblenz,Rheinland-Pfalz
82288,Kottgeisering,Landkreis Fürstenfeldbruck,Bayern
2739,Kottmar,Landkreis Görlitz,Sachsen
89359,Kötz,Landkreis Günzburg,Bayern
93444,Kötzting,Landkreis Cham,Bayern
17329,"Krackow, Nadrensee",Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
84559,Kraiburg a. Inn,Landkreis Mühldorf a. Inn,Bayern
76703,Kraichtal,Landkreis Karlsruhe,Baden-Württemberg
18292,"Krakow, Dobbin-Linstow u.a.",Landkreis Rostock,Mecklenburg-Vorpommern
47559,Kranenburg,Kreis Kleve,Nordrhein-Westfalen
99448,Kranichfeld u.a.,Landkreis Weimarer Land,Thüringen
85402,Kranzberg,Landkreis Freising,Bayern
72505,Krauchenwies,Landkreis Sigmaringen,Baden-Württemberg
2957,"Krauschwitz, Weißkeißel",Landkreis Görlitz,Sachsen
74238,Krautheim,Landkreis Hohenlohekreis,Baden-Württemberg
36460,"Krayenberggemeinde, Frauensee",Landkreis Wartburgkreis,Thüringen
47839,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47829,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47809,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47807,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47805,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47804,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47803,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47802,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47800,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47799,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
47798,Krefeld,Kreisfreie Stadt Krefeld,Nordrhein-Westfalen
67757,Kreimbach-Kaulbach,Landkreis Kusel,Rheinland-Pfalz
1731,Kreischa,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
16766,Kremmen,Landkreis Oberhavel,Brandenburg
25361,"Krempe, Grevenkop, Süderau, Muchelndorf",Kreis Steinburg,Schleswig-Holstein
25569,Kremperheide,Kreis Steinburg,Schleswig-Holstein
74594,Kreßberg,Landkreis Schwäbisch Hall,Baden-Württemberg
88079,Kressbronn am Bodensee,Landkreis Bodenseekreis,Baden-Württemberg
56630,Kretz,Landkreis Mayen-Koblenz,Rheinland-Pfalz
83708,Kreuth,Landkreis Miesbach,Bayern
52372,Kreuzau,Kreis Düren,Nordrhein-Westfalen
57223,Kreuztal,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
97892,Kreuzwertheim,Landkreis Main-Spessart,Bayern
67706,Krickenbach,Landkreis Kaiserslautern,Rheinland-Pfalz
67819,Kriegsfeld,Landkreis Donnersbergkreis,Rheinland-Pfalz
17391,Krien u.a.,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
65830,Kriftel,Landkreis Main-Taunus-Kreis,Hessen
